,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Recreation,326,2.76%,11.10%,22.10%,-1.72%,7.33%,15.30%,0.59,1.15,2.04,8.00%,8.58%,8.90%,0.49,1.02,1.44,3.32%,15.63%,39.43%
Reinsurance,34,3.91%,8.34%,14.40%,7.75%,10.26%,15.73%,0.82,1.26,2.15,9.79%,10.78%,11.95%,0.64,1.05,1.43,0.01%,15.21%,29.00%
Restaurant/Dining,394,1.79%,9.59%,17.90%,-1.88%,3.44%,8.53%,1.24,2.00,3.32,7.76%,8.39%,8.63%,0.43,0.80,1.38,9.88%,23.57%,43.76%
Retail (Automotive),204,3.90%,11.70%,20.50%,0.07%,2.90%,5.67%,1.51,2.52,4.59,7.15%,7.68%,9.26%,0.40,0.87,1.40,11.19%,36.86%,61.79%
Retail (Building Supply),120,-0.37%,5.28%,11.00%,1.67%,4.15%,11.29%,1.29,1.94,3.72,8.08%,8.86%,10.44%,0.57,0.99,1.56,10.36%,29.87%,51.14%
Retail (Distributors),"1,028",0.59%,8.29%,19.50%,0.00%,3.59%,8.94%,0.72,1.83,3.38,6.85%,7.23%,8.40%,0.29,0.77,1.25,1.73%,15.92%,43.10%
Retail (General),256,-7.76%,2.54%,11.10%,-0.92%,3.92%,8.69%,0.69,1.83,3.35,8.30%,8.94%,9.29%,0.54,0.93,1.41,8.82%,26.51%,57.07%
Retail (Grocery and Food),201,-0.18%,4.82%,11.70%,1.45%,3.22%,4.98%,2.23,3.20,4.69,6.58%,6.79%,7.31%,0.33,0.56,0.91,11.05%,29.02%,44.47%
Retail (REITs),123,1.35%,5.32%,12.00%,39.86%,55.98%,67.74%,0.07,0.10,0.12,6.27%,6.64%,7.54%,0.57,0.91,1.30,33.57%,44.40%,56.15%
Retail (Special Lines),639,0.07%,7.21%,15.50%,-0.96%,3.78%,8.82%,1.50,2.51,4.03,8.33%,9.03%,9.46%,0.59,0.98,1.48,5.71%,22.20%,47.42%
Rubber& Tires,89,5.02%,12.50%,17.40%,3.84%,6.65%,9.71%,0.89,1.24,1.62,8.32%,9.16%,10.50%,0.63,1.09,1.38,8.25%,23.08%,45.53%
Semiconductor,647,-2.73%,7.51%,20.80%,-12.92%,1.61%,11.02%,0.58,0.94,1.59,12.46%,12.86%,13.00%,1.14,1.59,2.21,0.46%,5.12%,17.06%
Semiconductor Equip,367,0.83%,12.50%,25.40%,1.26%,9.66%,18.47%,0.74,1.15,1.75,13.92%,14.32%,14.70%,1.30,1.96,2.58,0.98%,6.54%,17.33%
Shipbuilding & Marine,348,4.88%,11.60%,19.00%,6.26%,14.57%,26.24%,0.32,0.60,1.04,8.17%,8.70%,10.49%,0.49,0.87,1.34,8.06%,25.47%,48.10%
Shoe,85,-2.05%,8.87%,19.70%,-3.88%,6.94%,10.72%,0.81,1.34,1.83,8.35%,8.68%,10.58%,0.26,0.90,1.43,2.52%,13.15%,38.26%
Software (Entertainment),317,0.90%,13.30%,25.60%,-27.53%,1.70%,14.16%,0.91,2.55,5.80,10.07%,10.86%,11.47%,0.76,1.31,1.79,0.31%,4.13%,19.47%
Software (Internet),151,3.43%,10.10%,28.50%,-23.15%,-1.94%,8.70%,0.55,1.52,2.90,9.64%,10.48%,10.97%,0.74,1.21,1.88,1.78%,8.80%,25.53%
Software (System & Application),"1,616",2.41%,11.10%,23.80%,-37.20%,-2.59%,9.61%,0.74,1.78,3.99,9.74%,10.53%,11.06%,0.69,1.16,1.73,0.27%,2.94%,14.48%
Steel,718,7.04%,14.50%,24.30%,-0.28%,4.04%,9.83%,0.88,1.40,2.15,8.79%,9.38%,11.40%,0.62,1.14,1.61,4.34%,23.37%,46.40%
Telecom (Wireless),98,1.77%,5.63%,11.90%,4.15%,13.29%,19.47%,0.58,0.98,1.70,6.81%,7.45%,8.75%,0.36,0.70,1.14,4.67%,22.71%,41.27%
Telecom. Equipment,453,-3.75%,4.79%,14.70%,-10.44%,1.58%,9.34%,0.76,1.33,2.17,9.29%,10.21%,10.45%,0.65,1.10,1.66,1.33%,8.84%,26.40%
Telecom. Services,288,0.74%,6.36%,16.70%,-0.02%,9.44%,19.53%,0.56,0.89,1.72,6.33%,6.88%,8.09%,0.36,0.78,1.19,8.27%,22.75%,45.17%
Tobacco,56,2.70%,6.13%,14.90%,-0.58%,16.80%,31.42%,0.89,1.52,2.51,6.44%,7.36%,9.36%,0.22,0.53,0.98,0.16%,6.72%,34.14%
Transportation,814,0.33%,7.86%,17.30%,-1.72%,5.55%,12.87%,0.65,1.41,2.61,7.70%,8.37%,9.57%,0.44,0.90,1.40,2.11%,15.51%,39.65%
Transportation (Railroads),49,2.69%,6.24%,11.50%,7.29%,10.74%,20.48%,0.36,0.46,0.74,6.12%,6.42%,6.65%,0.18,0.60,0.99,17.25%,42.71%,57.27%
Trucking,106,-0.99%,5.91%,14.70%,2.32%,5.74%,9.05%,0.98,1.66,2.67,7.68%,8.29%,10.21%,0.53,0.95,1.31,14.05%,26.57%,46.54%
Utility (General),50,6.36%,13.40%,20.00%,5.55%,15.40%,20.72%,0.32,0.41,1.69,5.68%,5.92%,6.43%,0.47,0.61,0.99,33.76%,45.99%,54.77%
Utility (Water),102,0.16%,6.88%,13.10%,7.21%,20.31%,27.60%,0.21,0.34,0.59,5.88%,6.23%,6.68%,0.42,0.60,0.91,6.67%,32.34%,60.80%
